2000	14133139	1192816	10255619	1192816
2064	15049710	1265973	10919880	1265973
2128	15995365	1341465	11605297	1341465
2192	16969588	1418991	12311285	1418991
2256	17937330	1499064	13002881	1499064
2320	18931711	1581199	13713106	1581199
2384	19990592	1665442	14479973	1665442
2448	21159522	1789956	15350990	1789956
2512	22283195	1879454	16166760	1879454
2576	23430647	1971099	16998343	1971099
2640	24607110	2065058	17851009	2065058
2704	25812037	2160986	18724142	2160986
2768	27002553	2259585	19574953	2259585
2832	28219561	2360182	20444238	2360182
2896	29509244	2462849	21378356	2462849
2960	30926058	2613852	22434138	2613852
3024	32281629	2721852	23418247	2721852
