256	0.116585	16945538	25352	0.0725886	2133572	90924
272	0.10721	20915981	28526	0.085381	2560036	96432
288	0.127973	25485657	31892	0.101819	3033624	114876
304	0.15143	31523362	35450	0.118948	3567060	127908
320	0.186621	33926685	39200	0.138312	4152497	141644
336	0.201852	42629618	43142	0.160229	4808589	156084
352	0.238598	46557734	47276	0.183059	5521454	171228
368	0.268464	56088287	51602	0.2098	6309308	187076
384	0.389061	57658474	56120	0.239211	7156593	203628
400	0.347385	72116457	60830	0.26767	8093796	220884
416	0.407724	76886518	65732	0.300735	9095037	238844
432	0.444517	90939330	70826	0.337377	10186668	257508
448	0.58983	93090022	76112	0.378183	11347104	276876
464	0.582006	112781453	81590	0.418428	12612533	296948
480	0.700904	118152342	87260	0.470309	13950941	317724
496	0.766422	137865724	93122	0.511911	15395866	339204
512	1.59525	134880656	99176	0.563456	16912872	361389
